parser0            parser1            seed                 testcase                  output0  output1
c_cjson            python_msgspec     {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            python_orjson      {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            python_orjson      {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            python_rapidjson   {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            python_rapidjson   {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            python_simplejson  {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            python_simplejson  {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            python_std         {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            python_std         {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            python_ujson       {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            python_ujson       {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            ruby_std           {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            ruby_std           {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            rust_json          {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            rust_json          {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            rust_jsonc         {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            rust_jsonc         {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            rust_serde         {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            rust_serde         {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_frozen           c_cjson            {"q":2,"q":3}        {"q":2,"q":3}             3        2
c_frozen           c_jansson          {"q":2,"q":3}        {"q":2,"\u0071":3}        2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2!,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2","q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2#,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2$,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2%,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2&,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2',"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2(,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2),"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2*,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2+,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2,"q",:3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2,"q"::3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2,,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2-,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2/,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2:,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2;,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2<,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2=,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2>,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2?,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2@,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2A,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2B,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2C,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2D,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2F,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2G,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2H,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2I,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2J,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2K,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2L,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2M,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2N,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2O,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2P,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2Q,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2R,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2S,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2T,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2U,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2V,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2W,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2X,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2Y,"q":3}            2        3
c_frozen           c_jsmn             {"q":2,"q":3}        {"q":2Z,"q":3}            2        3
